commonname,lengthM,weight,age,sex,date,country,habitat,conservation
Borneo Crocodile (disputed),1.52,43.4,Juvenile,Male,17-03-2018,Malaysia,Estuarine Systems,Data Deficient
West African Crocodile,2.05,74.1,Subadult,Unknown,17-10-2011,Mali,Oases,Least Concern
Saltwater Crocodile,4.33,517.9,Adult,Unknown,23-09-2009,Indonesia,Coastal Wetlands,Least Concern
American Crocodile,2.94,164.0,Adult,Male,31-03-2011,United States of America,Mangroves,Vulnerable
American Crocodile,3.18,215.0,Adult,Unknown,25-10-2010,Cuba,Mangroves,Vulnerable
West African Crocodile,2.17,91.9,Subadult,Unknown,05-11-2022,Mauritania,Rivers,Least Concern
West African Crocodile,3.35,197.9,Adult,Male,27-11-2014,Niger,Oases,Least Concern
Orinoco Crocodile,1.41,113.1,Juvenile,Female,22-01-2010,Venezuela,Large Rivers,Critically Endangered
West African Dwarf Crocodile,1.26,16.9,Adult,Female,15-05-2022,Côte d'Ivoire,Forest Swamps,Vulnerable
Orinoco Crocodile,2.63,193.2,Juvenile,Female,15-11-2018,Venezuela,Large Rivers,Critically Endangered
Borneo Crocodile (disputed),1.55,40.9,Juvenile,Unknown,03-06-2012,Indonesia,Rivers,Data Deficient
Siamese Crocodile,2.76,129.6,Adult,Unknown,20-03-2016,Laos,Swamps,Critically Endangered
Congo Dwarf Crocodile,0.17,4.7,Hatchling,Female,01-12-2024,Dem. Rep. Congo,Forest Swamps,Data Deficient
Congo Dwarf Crocodile,1.71,38.4,Adult,Unknown,08-10-2020,Dem. Rep. Congo,Slow Streams,Data Deficient
Borneo Crocodile (disputed),2.25,69.6,Subadult,Unknown,20-01-2010,Malaysia,Estuarine Systems,Data Deficient
Freshwater Crocodile (Johnstone's),2.71,87.4,Adult,Male,25-12-2016,Australia,Gorges,Least Concern
Congo Dwarf Crocodile,1.41,23.6,Adult,Male,28-10-2014,Dem. Rep. Congo,Slow Streams,Data Deficient
Philippine Crocodile,2.09,73.8,Subadult,Unknown,28-09-2017,Philippines,Freshwater Marshes,Critically Endangered
Saltwater Crocodile,4.76,660.4,Subadult,Male,23-09-2019,Australia,Estuaries,Least Concern
Congo Dwarf Crocodile,1.15,14.0,Subadult,Unknown,26-07-2011,Dem. Rep. Congo,Slow Streams,Data Deficient
Congo Dwarf Crocodile,1.06,11.5,Juvenile,Unknown,27-05-2017,Dem. Rep. Congo,Forest Swamps,Data Deficient
Cuban Crocodile,0.56,38.0,Hatchling,Unknown,14-08-2013,Cuba,Freshwater Wetlands,Critically Endangered
Siamese Crocodile,1.98,69.6,Adult,Unknown,05-03-2006,Laos,Slow Rivers,Critically Endangered
Hall's New Guinea Crocodile,2.9,104.1,Adult,Unknown,26-09-2014,Papua New Guinea,Freshwater Wetlands,Least Concern
Congo Dwarf Crocodile,1.3,19.0,Subadult,Unknown,01-11-2010,Dem. Rep. Congo,Slow Streams,Data Deficient
Mugger Crocodile (Marsh Crocodile),3.01,164.6,Subadult,Female,11-01-2011,Nepal,Lakes,Vulnerable
Freshwater Crocodile (Johnstone's),2.07,65.5,Subadult,Female,22-04-2019,Australia,Billabongs,Least Concern
American Crocodile,3.45,201.3,Adult,Female,28-10-2010,Colombia,Estuaries,Vulnerable
Orinoco Crocodile,4.16,389.4,Adult,Female,03-01-2018,Colombia,Large Rivers,Critically Endangered
Mugger Crocodile (Marsh Crocodile),2.69,135.6,Adult,Female,14-02-2017,India,Rivers,Vulnerable
Morelet's Crocodile,2.79,115.1,Subadult,Unknown,26-07-2014,Belize,Swamps,Least Concern
New Guinea Crocodile,0.38,28.4,Hatchling,Male,15-06-2025,Papua New Guinea,Lakes,Least Concern
New Guinea Crocodile,1.86,49.2,Juvenile,Unknown,14-05-2008,Indonesia,Rivers,Least Concern
American Crocodile,4.18,349.6,Adult,Unknown,11-06-2021,Mexico,Coastal Lagoons,Vulnerable
West African Dwarf Crocodile,1.34,20.1,Subadult,Male,24-03-2015,Liberia,Forest Swamps,Vulnerable
West African Slender-snouted Crocodile,3.07,183.9,Adult,Unknown,11-11-2015,Ghana,Shaded Forest Rivers,Critically Endangered
Borneo Crocodile (disputed),2.98,152.6,Adult,Unknown,03-11-2010,Malaysia,Estuarine Systems,Data Deficient
Morelet's Crocodile,1.81,61.7,Adult,Male,28-09-2008,Mexico,Rivers,Least Concern
Congo Dwarf Crocodile,0.14,4.4,Hatchling,Unknown,11-06-2024,Central African Rep.,Slow Streams,Data Deficient
Cuban Crocodile,2.12,79.5,Adult,Unknown,06-01-2006,Cuba,Swamps,Critically Endangered
Borneo Crocodile (disputed),3.23,185.8,Adult,Unknown,07-03-2022,Indonesia,Rivers,Data Deficient
Hall's New Guinea Crocodile,2.97,117.6,Subadult,Female,26-08-2012,Papua New Guinea,Rivers,Least Concern
New Guinea Crocodile,2.45,84.4,Adult,Female,26-03-2007,Indonesia,Swamps,Least Concern
Morelet's Crocodile,2.56,87.0,Subadult,Male,13-12-2019,Belize,Swamps,Least Concern
Philippine Crocodile,2.33,73.5,Adult,Unknown,03-12-2022,Philippines,Freshwater Marshes,Critically Endangered
Nile Crocodile,4.14,515.7,Adult,Unknown,04-11-2020,Sudan,Rivers,Least Concern
Borneo Crocodile (disputed),3.48,220.9,Adult,Male,11-09-2021,Indonesia,Rivers,Data Deficient
Orinoco Crocodile,3.57,353.0,Adult,Female,05-01-2025,Venezuela,Flooded Savannas,Critically Endangered
West African Dwarf Crocodile,1.14,11.1,Adult,Male,08-07-2010,Sierra Leone,Small Streams,Vulnerable
Philippine Crocodile,1.48,42.6,Juvenile,Unknown,23-10-2021,Philippines,Freshwater Marshes,Critically Endangered
American Crocodile,1.51,84.7,Juvenile,Male,09-09-2024,Costa Rica,Estuaries,Vulnerable
Central African Slender-snouted Crocodile,1.87,73.6,Juvenile,Female,31-05-2014,Gabon,Swamps,Endangered
Borneo Crocodile (disputed),2.65,118.4,Adult,Female,05-11-2023,Malaysia,Estuarine Systems,Data Deficient
Nile Crocodile,3.38,310.1,Adult,Female,21-02-2020,Tanzania,Reservoirs,Least Concern
West African Slender-snouted Crocodile,3.22,187.6,Adult,Male,03-12-2011,Côte d'Ivoire,Swamps,Critically Endangered
Orinoco Crocodile,2.02,162.7,Juvenile,Male,31-12-2022,Colombia,Large Rivers,Critically Endangered
Hall's New Guinea Crocodile,0.95,33.9,Juvenile,Unknown,22-02-2010,Papua New Guinea,Freshwater Wetlands,Least Concern
New Guinea Crocodile,2.35,84.2,Adult,Female,13-12-2005,Papua New Guinea,Swamps,Least Concern
Nile Crocodile,4.22,482.8,Adult,Unknown,27-12-2013,Uganda,Marshes,Least Concern
American Crocodile,2.71,124.6,Adult,Unknown,12-08-2025,Cuba,Coastal Lagoons,Vulnerable
Philippine Crocodile,1.86,47.5,Subadult,Unknown,04-12-2017,Philippines,Rivers,Critically Endangered
Borneo Crocodile (disputed),2.38,100.9,Adult,Male,30-07-2013,Indonesia,Estuarine Systems,Data Deficient
Hall's New Guinea Crocodile,3.24,133.7,Adult,Female,18-04-2013,Papua New Guinea,Freshwater Wetlands,Least Concern
New Guinea Crocodile,2.88,115.5,Adult,Unknown,10-08-2010,Papua New Guinea,Lakes,Least Concern
Siamese Crocodile,2.52,108.4,Adult,Female,08-05-2015,Vietnam,Oxbow Lakes,Critically Endangered
American Crocodile,2.46,112.5,Juvenile,Female,09-02-2016,Cuba,Brackish Rivers,Vulnerable
Congo Dwarf Crocodile,1.55,29.5,Adult,Female,20-09-2016,Central African Rep.,Slow Streams,Data Deficient
Cuban Crocodile,2.16,76.4,Adult,Female,20-05-2015,Cuba,Swamps,Critically Endangered
Orinoco Crocodile,2.95,216.9,Juvenile,Male,21-06-2009,Venezuela,Flooded Savannas,Critically Endangered
Morelet's Crocodile,1.52,50.9,Juvenile,Female,18-05-2011,Belize,Lagoons,Least Concern
Hall's New Guinea Crocodile,0.94,35.8,Juvenile,Female,31-12-2008,Papua New Guinea,Freshwater Wetlands,Least Concern
West African Dwarf Crocodile,1.35,19.8,Subadult,Unknown,24-05-2025,Côte d'Ivoire,Forest Swamps,Vulnerable
Nile Crocodile,3.02,283.5,Juvenile,Male,28-01-2008,Nigeria,Reservoirs,Least Concern
Orinoco Crocodile,3.98,445.1,Adult,Unknown,07-03-2025,Colombia,Flooded Savannas,Critically Endangered
Nile Crocodile,4.48,604.8,Adult,Male,31-07-2013,Tanzania,Lakes,Least Concern
Philippine Crocodile,1.69,51.5,Subadult,Unknown,15-02-2011,Philippines,Ponds,Critically Endangered
Central African Slender-snouted Crocodile,2.35,105.8,Subadult,Unknown,06-07-2021,Cameroon,Forest Rivers,Endangered
Borneo Crocodile (disputed),3.16,155.2,Adult,Unknown,09-10-2018,Indonesia,Estuarine Systems,Data Deficient
Orinoco Crocodile,4.81,636.5,Adult,Male,14-11-2008,Colombia,Large Rivers,Critically Endangered
Philippine Crocodile,1.94,51.7,Subadult,Female,29-09-2017,Philippines,Ponds,Critically Endangered
American Crocodile,2.8,157.6,Adult,Male,10-09-2022,Mexico,Estuaries,Vulnerable
West African Slender-snouted Crocodile,2.48,122.3,Adult,Male,06-10-2021,Nigeria,Shaded Forest Rivers,Critically Endangered
Saltwater Crocodile,5.2,751.3,Adult,Female,26-10-2024,India,Mangroves,Least Concern
Siamese Crocodile,2.86,145.6,Adult,Female,10-08-2023,Thailand,Slow Rivers,Critically Endangered
Cuban Crocodile,2.48,108.1,Adult,Male,04-09-2012,Cuba,Freshwater Wetlands,Critically Endangered
Philippine Crocodile,1.68,40.4,Adult,Female,24-08-2017,Philippines,Ponds,Critically Endangered
New Guinea Crocodile,1.98,58.9,Juvenile,Female,07-04-2017,Papua New Guinea,Lakes,Least Concern
West African Slender-snouted Crocodile,2.62,120.6,Adult,Unknown,30-07-2012,Côte d'Ivoire,Swamps,Critically Endangered
Saltwater Crocodile,5.48,918.4,Adult,Female,21-04-2018,Australia,Mangroves,Least Concern
Orinoco Crocodile,3.9,427.3,Subadult,Female,18-11-2013,Venezuela,Flooded Savannas,Critically Endangered
Cuban Crocodile,2.69,102.7,Subadult,Unknown,20-12-2023,Cuba,Freshwater Wetlands,Critically Endangered
Orinoco Crocodile,3.26,307.4,Adult,Female,03-11-2020,Venezuela,Large Rivers,Critically Endangered
Cuban Crocodile,2.56,97.8,Adult,Female,23-05-2018,Cuba,Freshwater Wetlands,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.07,157.5,Adult,Female,19-05-2008,Nepal,Reservoirs,Vulnerable
Central African Slender-snouted Crocodile,2.01,78.2,Adult,Female,31-01-2023,Cameroon,Swamps,Endangered
West African Crocodile,2.69,132.0,Adult,Female,23-06-2014,Mali,Lakes,Least Concern
Siamese Crocodile,2.98,178.7,Adult,Female,04-07-2007,Thailand,Swamps,Critically Endangered
West African Crocodile,2.05,77.0,Adult,Female,03-10-2014,Mali,Lakes,Least Concern
Saltwater Crocodile,4.23,524.7,Subadult,Male,05-03-2017,Indonesia,Mangroves,Least Concern
Hall's New Guinea Crocodile,3.03,118.1,Adult,Unknown,27-07-2021,Papua New Guinea,Freshwater Wetlands,Least Concern
American Crocodile,3.09,187.3,Subadult,Unknown,28-05-2023,Venezuela,Brackish Rivers,Vulnerable
American Crocodile,1.81,99.8,Juvenile,Female,20-10-2025,United States of America,Mangroves,Vulnerable
West African Crocodile,2.26,102.4,Adult,Female,12-08-2007,Mauritania,Oases,Least Concern
Freshwater Crocodile (Johnstone's),2.06,49.3,Adult,Male,23-01-2022,Australia,Billabongs,Least Concern
Siamese Crocodile,0.27,32.7,Hatchling,Unknown,30-11-2007,Laos,Swamps,Critically Endangered
New Guinea Crocodile,2.21,77.3,Adult,Unknown,20-07-2023,Indonesia,Rivers,Least Concern
New Guinea Crocodile,2.74,107.4,Adult,Male,13-05-2015,Indonesia,Lakes,Least Concern
Orinoco Crocodile,4.79,718.2,Adult,Unknown,29-09-2012,Venezuela,Large Rivers,Critically Endangered
Hall's New Guinea Crocodile,2.74,96.4,Adult,Unknown,20-11-2012,Papua New Guinea,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),2.54,78.2,Adult,Male,06-03-2007,Australia,Freshwater Rivers,Least Concern
Morelet's Crocodile,2.35,89.8,Subadult,Female,13-03-2025,Guatemala,Rivers,Least Concern
Hall's New Guinea Crocodile,2.83,119.8,Adult,Unknown,18-10-2013,Papua New Guinea,Rivers,Least Concern
West African Slender-snouted Crocodile,0.61,44.6,Hatchling,Unknown,12-11-2008,Nigeria,Shaded Forest Rivers,Critically Endangered
Borneo Crocodile (disputed),3.6,263.2,Adult,Unknown,03-03-2014,Indonesia,Estuarine Systems,Data Deficient
Orinoco Crocodile,4.54,593.9,Adult,Unknown,25-09-2013,Venezuela,Large Rivers,Critically Endangered
Hall's New Guinea Crocodile,0.8,27.7,Juvenile,Unknown,06-05-2015,Papua New Guinea,Freshwater Wetlands,Least Concern
Mugger Crocodile (Marsh Crocodile),3.72,225.8,Subadult,Female,13-03-2021,India,Lakes,Vulnerable
Borneo Crocodile (disputed),2.02,70.2,Juvenile,Unknown,12-01-2021,Indonesia,Estuarine Systems,Data Deficient
Saltwater Crocodile,4.1,514.5,Adult,Unknown,11-02-2019,Malaysia,Coastal Wetlands,Least Concern
Morelet's Crocodile,1.76,57.8,Adult,Female,06-04-2014,Guatemala,Rivers,Least Concern
Mugger Crocodile (Marsh Crocodile),1.22,54.4,Juvenile,Female,01-06-2012,Pakistan,Reservoirs,Vulnerable
Saltwater Crocodile,4.84,639.9,Adult,Male,25-09-2017,Malaysia,Tidal Rivers,Least Concern
West African Slender-snouted Crocodile,1.89,77.0,Juvenile,Male,08-02-2018,Guinea,Swamps,Critically Endangered
West African Dwarf Crocodile,1.01,11.6,Subadult,Female,27-09-2016,Liberia,Small Streams,Vulnerable
Orinoco Crocodile,4.16,404.5,Adult,Unknown,14-09-2022,Venezuela,Large Rivers,Critically Endangered
Central African Slender-snouted Crocodile,2.08,86.9,Adult,Unknown,22-02-2025,Cameroon,Forest Rivers,Endangered
Saltwater Crocodile,5.13,765.1,Adult,Unknown,23-01-2017,Australia,Estuaries,Least Concern
West African Dwarf Crocodile,0.8,7.7,Juvenile,Male,31-08-2018,Liberia,Small Streams,Vulnerable
Philippine Crocodile,2.34,79.4,Adult,Female,01-06-2015,Philippines,Ponds,Critically Endangered
New Guinea Crocodile,2.75,117.5,Adult,Female,08-10-2017,Papua New Guinea,Rivers,Least Concern
Morelet's Crocodile,2.6,105.9,Adult,Male,25-08-2010,Belize,Lagoons,Least Concern
Morelet's Crocodile,2.9,126.3,Subadult,Unknown,29-05-2020,Guatemala,Swamps,Least Concern
Morelet's Crocodile,2.47,86.4,Adult,Unknown,27-01-2020,Mexico,Rivers,Least Concern
Philippine Crocodile,1.89,49.8,Adult,Female,29-08-2019,Philippines,Ponds,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.01,155.1,Subadult,Female,30-03-2006,Pakistan,Reservoirs,Vulnerable
West African Slender-snouted Crocodile,2.76,137.8,Subadult,Unknown,30-07-2021,Sierra Leone,Shaded Forest Rivers,Critically Endangered
West African Slender-snouted Crocodile,2.53,120.8,Adult,Male,10-07-2022,Nigeria,Swamps,Critically Endangered
Mugger Crocodile (Marsh Crocodile),2.97,174.6,Subadult,Male,02-08-2015,Sri Lanka,Lakes,Vulnerable
Borneo Crocodile (disputed),2.59,108.0,Subadult,Unknown,06-11-2010,Malaysia,Rivers,Data Deficient
American Crocodile,3.74,252.0,Adult,Unknown,03-11-2024,Cuba,Estuaries,Vulnerable
West African Slender-snouted Crocodile,2.79,138.1,Adult,Male,24-02-2008,Guinea,Swamps,Critically Endangered
West African Crocodile,2.99,192.7,Adult,Female,21-09-2022,Sudan,Lakes,Least Concern
New Guinea Crocodile,2.81,130.0,Adult,Unknown,25-12-2023,Papua New Guinea,Rivers,Least Concern
Philippine Crocodile,2.27,79.3,Adult,Unknown,31-05-2008,Philippines,Freshwater Marshes,Critically Endangered
New Guinea Crocodile,2.23,78.8,Subadult,Female,04-06-2005,Papua New Guinea,Lakes,Least Concern
Borneo Crocodile (disputed),2.46,96.9,Adult,Male,09-04-2022,Malaysia,Rivers,Data Deficient
Cuban Crocodile,3.14,173.0,Adult,Unknown,26-10-2012,Cuba,Swamps,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.97,269.9,Adult,Female,12-08-2005,Sri Lanka,Marshes,Vulnerable
West African Crocodile,2.6,111.8,Adult,Unknown,09-04-2023,Mali,Rivers,Least Concern
West African Dwarf Crocodile,1.3,17.0,Adult,Female,24-04-2014,Sierra Leone,Forest Swamps,Vulnerable
West African Dwarf Crocodile,1.46,18.0,Adult,Female,26-03-2024,Guinea,Small Streams,Vulnerable
Freshwater Crocodile (Johnstone's),2.4,72.3,Adult,Female,07-01-2006,Australia,Freshwater Rivers,Least Concern
Nile Crocodile,3.43,317.9,Adult,Unknown,29-10-2019,Tanzania,Marshes,Least Concern
Orinoco Crocodile,3.61,364.2,Adult,Female,19-09-2024,Venezuela,Large Rivers,Critically Endangered
Saltwater Crocodile,4.01,509.2,Subadult,Male,10-07-2007,Papua New Guinea,Coastal Wetlands,Least Concern
Congo Dwarf Crocodile,1.28,20.5,Subadult,Unknown,25-01-2021,Dem. Rep. Congo,Slow Streams,Data Deficient
Philippine Crocodile,1.98,56.1,Subadult,Female,21-02-2009,Philippines,Rivers,Critically Endangered
West African Dwarf Crocodile,1.01,11.3,Subadult,Male,11-10-2021,Côte d'Ivoire,Forest Swamps,Vulnerable
Orinoco Crocodile,2.75,204.8,Adult,Male,07-02-2019,Colombia,Flooded Savannas,Critically Endangered
West African Slender-snouted Crocodile,3.21,219.8,Adult,Female,07-01-2025,Sierra Leone,Swamps,Critically Endangered
Central African Slender-snouted Crocodile,2.51,111.5,Subadult,Male,09-03-2017,Cameroon,Forest Rivers,Endangered
West African Slender-snouted Crocodile,3.06,185.2,Adult,Unknown,04-02-2009,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered
Mugger Crocodile (Marsh Crocodile),0.47,51.1,Hatchling,Unknown,27-11-2016,Sri Lanka,Reservoirs,Vulnerable
Morelet's Crocodile,0.6,35.4,Juvenile,Female,26-08-2011,Belize,Lagoons,Least Concern
Central African Slender-snouted Crocodile,2.69,125.3,Adult,Unknown,28-04-2018,Cameroon,Forest Rivers,Endangered
Cuban Crocodile,1.79,65.6,Juvenile,Female,07-04-2018,Cuba,Freshwater Wetlands,Critically Endangered
American Crocodile,3.67,269.8,Adult,Unknown,28-05-2008,Cuba,Brackish Rivers,Vulnerable
Siamese Crocodile,2.69,131.4,Adult,Female,11-06-2023,Cambodia,Oxbow Lakes,Critically Endangered
Cuban Crocodile,2.28,83.1,Adult,Male,23-01-2019,Cuba,Swamps,Critically Endangered
Borneo Crocodile (disputed),2.18,81.8,Adult,Unknown,23-05-2016,Malaysia,Estuarine Systems,Data Deficient
Hall's New Guinea Crocodile,1.93,61.7,Juvenile,Unknown,10-08-2018,Papua New Guinea,Rivers,Least Concern
Morelet's Crocodile,3.1,143.3,Adult,Unknown,18-06-2014,Belize,Lagoons,Least Concern
Hall's New Guinea Crocodile,3.01,141.4,Subadult,Female,04-01-2020,Papua New Guinea,Freshwater Wetlands,Least Concern
Nile Crocodile,4.5,598.5,Subadult,Unknown,19-09-2012,Tanzania,Lakes,Least Concern
West African Slender-snouted Crocodile,1.48,63.6,Juvenile,Unknown,21-03-2012,Nigeria,Swamps,Critically Endangered
Orinoco Crocodile,4.5,581.0,Adult,Male,07-02-2012,Colombia,Large Rivers,Critically Endangered
West African Crocodile,2.9,146.4,Adult,Female,23-07-2012,Chad,Lakes,Least Concern
Orinoco Crocodile,3.38,310.3,Adult,Unknown,27-01-2017,Venezuela,Flooded Savannas,Critically Endangered
Philippine Crocodile,2.17,78.2,Subadult,Female,05-10-2018,Philippines,Rivers,Critically Endangered
West African Slender-snouted Crocodile,1.93,76.0,Juvenile,Male,05-04-2008,Guinea,Swamps,Critically Endangered
Nile Crocodile,4.68,661.7,Adult,Female,01-10-2021,Tanzania,Marshes,Least Concern
Borneo Crocodile (disputed),3.02,133.1,Adult,Unknown,16-07-2010,Indonesia,Rivers,Data Deficient
Central African Slender-snouted Crocodile,2.65,146.7,Adult,Male,09-06-2015,Gabon,Forest Rivers,Endangered
West African Slender-snouted Crocodile,2.84,138.2,Subadult,Unknown,13-12-2012,Guinea,Swamps,Critically Endangered
Nile Crocodile,2.07,202.3,Juvenile,Unknown,01-11-2011,Tanzania,Lakes,Least Concern
Borneo Crocodile (disputed),2.37,76.0,Adult,Unknown,03-12-2021,Malaysia,Rivers,Data Deficient
American Crocodile,3.25,204.5,Adult,Male,30-09-2023,Cuba,Coastal Lagoons,Vulnerable
Morelet's Crocodile,2.41,92.5,Adult,Female,15-08-2020,Belize,Swamps,Least Concern
Orinoco Crocodile,1.73,117.2,Juvenile,Unknown,14-03-2019,Venezuela,Flooded Savannas,Critically Endangered
Morelet's Crocodile,2.1,78.2,Subadult,Unknown,14-04-2005,Mexico,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),1.32,27.3,Juvenile,Male,29-09-2012,Australia,Gorges,Least Concern
Hall's New Guinea Crocodile,1.99,52.1,Juvenile,Male,23-12-2025,Papua New Guinea,Rivers,Least Concern
Morelet's Crocodile,2.3,80.3,Adult,Unknown,20-08-2025,Belize,Rivers,Least Concern
West African Crocodile,2.76,121.2,Subadult,Male,23-07-2025,Chad,Oases,Least Concern
West African Dwarf Crocodile,1.01,11.3,Adult,Female,09-03-2012,Sierra Leone,Small Streams,Vulnerable
Freshwater Crocodile (Johnstone's),2.14,57.7,Adult,Female,16-04-2022,Australia,Gorges,Least Concern
Philippine Crocodile,2.04,69.0,Adult,Male,18-10-2011,Philippines,Freshwater Marshes,Critically Endangered
Congo Dwarf Crocodile,0.6,6.8,Juvenile,Male,20-03-2007,Central African Rep.,Forest Swamps,Data Deficient
New Guinea Crocodile,2.5,80.4,Adult,Male,12-03-2025,Papua New Guinea,Swamps,Least Concern
Mugger Crocodile (Marsh Crocodile),2.54,113.2,Juvenile,Male,06-03-2008,Iran,Rivers,Vulnerable
Borneo Crocodile (disputed),3.91,272.3,Adult,Male,27-04-2023,Malaysia,Estuarine Systems,Data Deficient
West African Crocodile,0.92,37.6,Juvenile,Male,11-02-2009,Sudan,Lakes,Least Concern
Siamese Crocodile,3.04,163.6,Adult,Female,17-06-2023,Thailand,Slow Rivers,Critically Endangered
Central African Slender-snouted Crocodile,0.35,26.5,Hatchling,Unknown,02-02-2023,Cameroon,Forest Rivers,Endangered
Hall's New Guinea Crocodile,2.74,121.5,Adult,Male,28-03-2022,Papua New Guinea,Rivers,Least Concern
Nile Crocodile,3.13,285.8,Subadult,Male,14-07-2012,Egypt,Reservoirs,Least Concern
West African Slender-snouted Crocodile,2.26,88.5,Adult,Male,02-07-2007,Nigeria,Shaded Forest Rivers,Critically Endangered
West African Dwarf Crocodile,0.39,4.9,Juvenile,Female,29-01-2005,Ghana,Forest Swamps,Vulnerable
Morelet's Crocodile,3.4,159.5,Adult,Female,26-10-2017,Guatemala,Rivers,Least Concern
West African Crocodile,2.55,112.3,Adult,Female,01-10-2015,Mauritania,Lakes,Least Concern
Hall's New Guinea Crocodile,2.27,80.3,Subadult,Female,25-01-2023,Papua New Guinea,Freshwater Wetlands,Least Concern
West African Slender-snouted Crocodile,2.34,93.5,Adult,Male,07-02-2014,Côte d'Ivoire,Swamps,Critically Endangered
West African Slender-snouted Crocodile,2.82,147.6,Adult,Male,09-07-2010,Sierra Leone,Shaded Forest Rivers,Critically Endangered
Hall's New Guinea Crocodile,1.73,47.4,Juvenile,Unknown,31-03-2014,Papua New Guinea,Freshwater Wetlands,Least Concern
Central African Slender-snouted Crocodile,1.2,38.0,Juvenile,Unknown,17-09-2011,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,0.79,34.2,Juvenile,Unknown,20-04-2017,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.5,120.6,Subadult,Unknown,10-01-2023,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.36,87.9,Adult,Unknown,27-07-2021,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.33,32.6,Hatchling,Female,17-01-2024,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.69,125.4,Adult,Unknown,09-10-2016,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,3.06,180.7,Adult,Unknown,13-07-2006,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.79,33.9,Juvenile,Male,14-02-2019,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.72,33.5,Juvenile,Male,08-03-2020,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.1,87.2,Adult,Male,27-03-2014,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.08,88.4,Adult,Female,03-11-2005,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.22,95.0,Subadult,Male,04-08-2020,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.72,155.3,Adult,Female,29-12-2009,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,1.13,40.5,Juvenile,Female,20-09-2007,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,1.98,81.8,Subadult,Male,27-03-2007,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.67,133.4,Adult,Male,30-06-2020,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.24,99.8,Subadult,Male,07-11-2023,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.47,34.5,Hatchling,Male,14-01-2011,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.51,103.1,Adult,Unknown,09-02-2019,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,1.6,56.3,Juvenile,Male,05-10-2020,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.52,123.3,Adult,Male,18-03-2012,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.22,83.9,Subadult,Unknown,10-02-2012,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.25,79.1,Adult,Male,12-05-2024,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,1.1,37.7,Juvenile,Male,11-09-2018,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,2.27,88.4,Subadult,Unknown,03-08-2017,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,0.19,25.8,Hatchling,Female,08-10-2005,Congo,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,3.02,179.1,Adult,Female,31-05-2010,Congo,Swamps,Endangered
Central African Slender-snouted Crocodile,1.2,38.0,Juvenile,Unknown,17-09-2011,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,0.79,34.2,Juvenile,Unknown,20-04-2017,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.5,120.6,Subadult,Unknown,10-01-2023,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.36,87.9,Adult,Unknown,27-07-2021,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.33,32.6,Hatchling,Female,17-01-2024,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.69,125.4,Adult,Unknown,09-10-2016,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,3.06,180.7,Adult,Unknown,13-07-2006,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.79,33.9,Juvenile,Male,14-02-2019,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.72,33.5,Juvenile,Male,08-03-2020,Eq. Guinea,Forest Rivers,Endangered
